date,total_trades,total_pnl,avg_pnl,win_rate,sentiment
2024-05-12,0,0.0,,,Greed
2024-06-01,0,0.0,,,Greed
2024-06-02,0,0.0,,,Greed
2024-06-03,0,0.0,,,Greed
2024-06-04,0,0.0,,,Greed
2024-06-05,0,0.0,,,Extreme Greed
2024-06-06,0,0.0,,,Extreme Greed
2024-06-07,0,0.0,,,Extreme Greed
2024-06-08,0,0.0,,,Greed
2024-06-09,0,0.0,,,Extreme Greed
2024-06-10,0,0.0,,,Greed
2024-06-11,0,0.0,,,Greed
2024-06-12,0,0.0,,,Greed
2024-07-01,0,0.0,,,Neutral
2024-07-02,0,0.0,,,Neutral
2024-07-04,0,0.0,,,Fear
2024-07-05,0,0.0,,,Fear
2024-07-06,0,0.0,,,Fear
2024-07-07,0,0.0,,,Fear
2024-07-08,0,0.0,,,Fear
2024-07-10,0,0.0,,,Fear
2024-07-11,0,0.0,,,Fear
2024-07-12,0,0.0,,,Fear
2024-08-01,0,0.0,,,Neutral
2024-08-02,0,0.0,,,Greed
2024-08-03,0,0.0,,,Fear
2024-08-04,0,0.0,,,Fear
2024-08-05,0,0.0,,,Fear
2024-08-06,0,0.0,,,Extreme Fear
2024-08-07,0,0.0,,,Fear
2024-08-08,0,0.0,,,Extreme Fear
2024-08-09,0,0.0,,,Neutral
2024-08-10,0,0.0,,,Fear
2024-08-11,0,0.0,,,Fear
2024-08-12,0,0.0,,,Fear
2024-09-01,0,0.0,,,Fear
2024-09-03,0,0.0,,,Fear
2024-09-04,0,0.0,,,Fear
2024-09-05,0,0.0,,,Fear
2024-09-06,0,0.0,,,Extreme Fear
2024-09-07,0,0.0,,,Extreme Fear
2024-09-08,0,0.0,,,Fear
2024-09-09,0,0.0,,,Fear
2024-09-10,0,0.0,,,Fear
2024-09-11,0,0.0,,,Fear
2024-09-12,0,0.0,,,Fear
2024-10-01,0,0.0,,,Neutral
2024-10-03,0,0.0,,,Fear
2024-10-04,0,0.0,,,Fear
2024-10-05,0,0.0,,,Neutral
2024-10-06,0,0.0,,,Neutral
2024-10-07,0,0.0,,,Neutral
2024-10-08,0,0.0,,,Neutral
2024-10-09,0,0.0,,,Neutral
2024-10-10,0,0.0,,,Fear
2024-10-11,0,0.0,,,Fear
2024-10-12,0,0.0,,,Neutral
2024-11-01,0,0.0,,,Extreme Greed
2024-11-02,0,0.0,,,Greed
2024-11-03,0,0.0,,,Greed
2024-11-04,0,0.0,,,Greed
2024-11-05,0,0.0,,,Greed
2024-11-06,0,0.0,,,Greed
2024-11-07,0,0.0,,,Extreme Greed
2024-11-08,0,0.0,,,Extreme Greed
2024-11-09,0,0.0,,,Extreme Greed
2024-11-10,0,0.0,,,Extreme Greed
2024-11-11,0,0.0,,,Extreme Greed
2024-11-12,0,0.0,,,Extreme Greed
2024-12-01,0,0.0,,,Extreme Greed
2024-12-02,0,0.0,,,Extreme Greed
2024-12-03,0,0.0,,,Extreme Greed
2024-12-04,0,0.0,,,Extreme Greed
2024-12-05,0,0.0,,,Extreme Greed
2024-12-06,0,0.0,,,Greed
2024-12-07,0,0.0,,,Extreme Greed
2024-12-08,0,0.0,,,Extreme Greed
2024-12-10,0,0.0,,,Extreme Greed
2024-12-11,0,0.0,,,Greed
2024-12-12,0,0.0,,,Extreme Greed
2025-01-01,0,0.0,,,Greed
2025-01-02,0,0.0,,,Greed
2025-01-03,0,0.0,,,Greed
2025-01-04,0,0.0,,,Greed
2025-01-05,0,0.0,,,Greed
2025-02-01,0,0.0,,,Greed
2025-02-02,0,0.0,,,Greed
2025-02-03,0,0.0,,,Fear
2025-02-04,0,0.0,,,Greed
2025-03-01,0,0.0,,,Extreme Fear
2025-03-02,0,0.0,,,Fear
2025-03-03,0,0.0,,,Fear
2025-03-04,0,0.0,,,Extreme Fear
2025-04-01,0,0.0,,,Fear
2025-04-02,0,0.0,,,Fear
2025-04-03,0,0.0,,,Fear
2025-04-04,0,0.0,,,Fear
2025-05-01,0,0.0,,,Neutral
2025-05-02,0,0.0,,,Greed
2025-05-03,0,0.0,,,
2025-05-04,0,0.0,,,
2025-06-01,0,0.0,,,
2025-06-02,0,0.0,,,
2025-06-03,0,0.0,,,
2025-06-04,0,0.0,,,
2025-07-01,0,0.0,,,
2025-07-02,0,0.0,,,
2025-07-03,0,0.0,,,
2025-07-04,0,0.0,,,
2025-08-01,0,0.0,,,
2025-08-02,0,0.0,,,
2025-08-03,0,0.0,,,
2025-08-04,0,0.0,,,
2025-09-01,0,0.0,,,
2025-09-02,0,0.0,,,
2025-09-03,0,0.0,,,
2025-09-04,0,0.0,,,
2025-10-01,0,0.0,,,
2025-10-02,0,0.0,,,
2025-10-03,0,0.0,,,
2025-10-04,0,0.0,,,
2025-11-01,0,0.0,,,
2025-11-02,0,0.0,,,
2025-11-03,0,0.0,,,
2025-11-04,0,0.0,,,
2025-12-01,0,0.0,,,
2025-12-02,0,0.0,,,
2025-12-03,0,0.0,,,
2025-12-04,0,0.0,,,
